ModelFile;PositionX;PositionY;PositionZ;RotationW;RotationX;RotationY;RotationZ;ScaleFactor;DoodadSet
deadminecargonethang.obj;5.312979000;9.497511000;8.128177000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;0.5251053;Default
deadminecargonethang.obj;-2.106462000;-1.276193000;2.488643000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;0.8950819;Default
shadowfanghaypile02.obj;-7.996932000;4.923562000;2.203581000;0.546027800000000;-0.104637800000000;0.042345830000000;0.830127400000000;0.7055964;Default
shadowfanghaypile02.obj;-6.376288000;3.484500000;1.927814000;0.551937000000000;0.000000000000000;0.000000000000000;0.833885800000000;0.712514;Default
shadowfanghaypile02.obj;-6.778769000;4.945114000;2.114840000;0.551508200000000;0.015284890000000;0.059397400000000;0.831911700000000;0.7055964;Default
shadowfanghaypile02.obj;-7.392736000;3.814404000;2.114840000;0.551937000000000;0.000000000000000;0.000000000000000;0.833885800000000;0.7055964;Default
shadowfanghaypile02.obj;-8.174567000;2.773973000;2.182867000;0.562167200000000;0.121761400000000;-0.050083680000000;0.816476400000000;0.7055964;Default
shadowfanghaypile01.obj;-8.244352000;4.003226000;1.879859000;0.704014700000000;0.000000000000000;0.000000000000000;0.710185300000000;0.8873332;Default
shadowfanghaypile01.obj;-6.519991000;4.013556000;1.879859000;0.704014700000000;0.000000000000000;0.000000000000000;0.710185300000000;0.8873332;Default
shadowfanghaypile01.obj;-6.933089000;2.307681000;1.935700000;0.998629500000000;0.000000000000000;0.000000000000000;0.052335910000000;0.7475957;Default
shadowfanghaypile01.obj;-8.463765000;3.809410000;2.324745000;0.702301300000000;0.086642340000000;0.051566400000000;0.704703400000000;0.6986873;Default
shadowfanghaypile02.obj;-7.780955000;1.213608000;2.221118000;0.571123900000000;-0.103295800000000;0.045521550000000;0.813065400000000;0.659085;Default
shadowfanghaypile02.obj;-6.352026000;-0.220500900;2.138227000;0.577145100000000;0.000000000000000;0.000000000000000;0.816641600000000;0.6655467;Default
shadowfanghaypile02.obj;-6.643984000;1.164237000;2.138227000;0.576656300000000;0.017091620000000;0.058902920000000;0.814681400000000;0.6590849;Default
shadowfanghaypile02.obj;-7.280889000;0.145043100;2.138227000;0.577145200000000;0.000000000000000;0.000000000000000;0.816641600000000;0.659085;Default
shadowfanghaypile02.obj;-8.069150000;-0.780408700;2.201770000;0.586838900000000;0.120175200000000;-0.053778690000000;0.798928000000000;0.6590849;Default
shadowfanghaypile02.obj;-5.460160000;-0.959970300;2.014798000;0.577365000000000;0.031079700000000;0.030824060000000;0.815311900000000;0.6590851;Default
shadowfanghaypile02.obj;-5.372284000;0.884118300;2.014798000;0.577445900000000;0.043889290000000;0.029038360000000;0.814731100000000;0.6590852;Default
shadowfanghaypile01.obj;-8.064117000;0.369652000;1.918735000;0.725374300000000;0.000000000000000;0.000000000000000;0.688354600000000;0.8288417;Default
shadowfanghaypile01.obj;-6.455837000;0.280953700;1.918735000;0.725374300000000;0.000000000000000;0.000000000000000;0.688354600000000;0.8288417;Default
shadowfanghaypile01.obj;-5.404966000;-0.048766670;1.918735000;0.725374300000000;0.000000000000000;0.000000000000000;0.688354600000000;0.6526312;Default
