ModelFile;PositionX;PositionY;PositionZ;RotationW;RotationX;RotationY;RotationZ;ScaleFactor;DoodadSet
generalhanginglantern01.obj;-29.666730000;0.007037375;4.267414000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.54;Default
generalhanginglantern01.obj;-29.666730000;-22.484730000;2.597548000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.175573;Default
generalhanginglantern01.obj;-41.600820000;-22.484730000;2.597548000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.175573;Default
generalhanginglantern01.obj;-29.666730000;22.484730000;2.597548000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.175573;Default
generalhanginglantern01.obj;-41.600820000;22.484730000;2.597548000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.175573;Default
generalhanginglanternlong.obj;-14.921890000;-22.549530000;31.861210000;0.000000021855690;0.000000014901160;-0.000000014901160;-1.000000000000000;1.4144;Default
generalhanginglantern01.obj;-14.750560000;-22.551800000;17.513720000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.54;Default
generalhanginglanternlong.obj;-57.327190000;-22.549530000;31.861220000;0.000000021855690;0.000000014901160;-0.000000014901160;-1.000000000000000;1.4144;Default
generalhanginglanternlong.obj;-59.085730000;-24.249620000;20.865180000;0.000000021855690;0.000000014901160;-0.000000014901160;-1.000000000000000;1.4144;Default
generalhanginglantern01.obj;-55.535120000;-18.416440000;11.371670000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.54;Default
generalhanginglanternlong.obj;-57.327190000;22.549530000;31.861220000;0.000000021855690;0.000000014901160;-0.000000014901160;-1.000000000000000;1.4144;Default
generalhanginglanternlong.obj;-59.085730000;24.249620000;20.865180000;0.000000021855690;0.000000014901160;-0.000000014901160;-1.000000000000000;1.4144;Default
generalhanginglantern01.obj;-55.535120000;18.416440000;11.371670000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.54;Default
generalhanginglantern01.obj;-43.310530000;-18.476710000;11.474140000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.175573;Default
generalhanginglantern01.obj;-24.147110000;-18.476710000;16.526140000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.175573;Default
generalhanginglantern01.obj;-43.310530000;18.476710000;11.474140000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.175573;Default
generalhanginglantern01.obj;-24.147110000;18.476710000;16.526140000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.175573;Default
torch.obj;-26.258030000;-15.250360000;-0.221022400;0.000000021855700;0.000000000000000;0.000000000000000;-1.000000000000000;1.16;Default
torch.obj;-35.388630000;-26.419020000;-0.221022400;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.16;Default
torch.obj;-44.766190000;-15.211330000;-0.221022400;1.000000000000000;0.000000000000000;0.000000000000000;0.000000021855700;1.16;Default
torch.obj;-35.388630000;26.419020000;-0.221022400;0.707106800000000;0.000000000000000;0.000000000000000;-0.707106700000000;1.16;Default
generalweaponrack01.obj;-45.043540000;25.246590000;-1.815616000;1.000000000000000;0.000000000000000;0.000000000000000;0.000000064002550;1;Default
generalweaponrack01.obj;-23.897890000;25.246590000;-1.815616000;1.000000000000000;0.000000000000000;0.000000000000000;0.000000064002550;1;Default
generalweaponrack01.obj;-32.078600000;25.246590000;-1.815616000;1.000000000000000;0.000000000000000;0.000000000000000;0.000000064002550;1;Default
generalweaponrack01.obj;-35.385450000;19.945840000;-1.815616000;-0.008726527000000;0.000000000000000;0.000000000000000;-0.999961900000000;1;Default
generalweaponrack01.obj;-33.399040000;-3.387875000;-3.304028000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1;Default
generalweaponrack01.obj;-38.852180000;15.167790000;-1.815616000;0.710185400000000;0.000000000000000;0.000000000000000;-0.704014700000000;1;Default
generalweaponrack01.obj;-38.852180000;-15.403330000;-1.815616000;0.710185400000000;0.000000000000000;0.000000000000000;-0.704014700000000;1;Default
generalweaponrack01.obj;-32.007160000;-15.399440000;-1.815616000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1;Default
generalweaponrack01.obj;-23.710460000;-25.135370000;-1.815616000;0.000000148296300;0.000000000000000;0.000000000000000;-1.000000000000000;1;Default
