ModelFile;PositionX;PositionY;PositionZ;RotationW;RotationX;RotationY;RotationZ;ScaleFactor;DoodadSet
shadowfangchair02.obj;16.211500000;2.843483000;-0.521009000;0.939692600000000;0.000000000000000;0.000000000000000;-0.342020100000000;1;set_Mid01
brokenbarrel02.obj;1.976923000;3.496795000;-0.521034100;0.996194700000000;0.000000000000000;0.000000000000000;-0.087155680000000;0.9999998;set_Mid01
duskwoodruinsbeam.obj;10.946890000;-8.158302000;-0.540930600;0.539974600000000;0.023804980000000;-0.036749640000000;-0.840541700000000;0.9999999;set_Mid01
brokenbarrel02.obj;-13.512990000;-14.308340000;-0.521034100;0.186524000000000;0.000000000000000;0.000000000000000;-0.982450400000000;1;set_Mid01
shadowfangchair01.obj;14.942790000;3.477762000;-0.098972950;0.653281500000000;0.270598100000000;-0.653281500000000;0.270598100000000;1;set_Mid01
shadowfangbench01.obj;15.322160000;1.103324000;-0.469506400;0.642787600000000;0.000000000000000;0.000000000000000;0.766044400000000;1;set_Mid01
duskwoodbench.obj;-7.945678000;-14.552200000;-0.489373700;-0.258819000000000;0.000000000000000;0.000000000000000;-0.965925800000000;1;set_Mid01
duskwoodbench.obj;-1.295079000;4.938752000;-0.104380900;0.329589300000000;0.631615500000000;0.376844400000000;-0.591963800000000;1;set_Mid01
shadowfangchair02.obj;-13.191590000;-11.514180000;-0.521009000;0.333806900000000;0.000000000000000;0.000000000000000;-0.942641500000000;1;set_Mid01
firewoodpile03.obj;4.924042000;5.610866000;-0.454256100;1.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1;set_Mid01
brokenbarrel01.obj;8.659339000;3.528709000;-0.485209800;1.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1;set_Mid01
shadowfangtable01.obj;-10.911910000;1.589628000;-0.472073200;-0.258819000000000;0.000000000000000;0.000000000000000;-0.965925800000000;1;set_Mid01
brokenbarrel02.obj;-13.280460000;-7.743516000;-0.521034100;0.342020200000000;0.000000000000000;0.000000000000000;-0.939692600000000;0.9999998;set_Mid03
shadowfangbench01.obj;15.595350000;2.619482000;-0.469506400;0.499999900000000;0.000000000000000;0.000000000000000;-0.866025400000000;1;set_Mid03
shadowfangchair02.obj;7.497393000;3.146222000;-0.521009000;0.333806900000000;0.000000000000000;0.000000000000000;-0.942641500000000;1.000001;set_Mid03
brokenbarrel01.obj;5.014706000;2.572585000;-0.485209800;1.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1;set_Mid03
duskwoodbench.obj;14.815460000;0.881471500;-0.473127200;0.422618300000000;0.000000000000000;0.000000000000000;-0.906307800000000;0.9999998;set_Mid03
duskwoodwardrobe01.obj;-13.444290000;-13.652880000;-0.472070500;0.999248300000000;0.026421980000000;0.001153592000000;0.028344270000000;1;set_Mid03
shadowfangchair01.obj;-11.996830000;1.655222000;-0.106923000;0.691357000000000;-0.157859000000000;-0.689496900000000;-0.147309900000000;1;set_Mid03
brokenbarrel01.obj;-10.756390000;2.466058000;-0.439365200;1.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1;set_Mid03
duskwoodruinsbeam.obj;13.265280000;2.281775000;4.302423000;0.422618200000000;0.000000000000000;0.000000000000000;-0.906307800000000;0.9999999;set_Mid03
shadowfangtable01.obj;7.687884000;-14.265340000;-0.475686600;0.819152000000000;0.000000000000000;0.000000000000000;-0.573576500000000;0.9999999;set_Mid03
duskwoodtable01.obj;2.500829000;-4.696211000;-0.551699900;0.000000000000006;-0.000000075497900;-0.000000075497900;-1.000000000000000;1;set_Mid02
duskwoodbench.obj;6.232446000;-3.381572000;-0.484002200;0.422618300000000;0.000000000000000;0.000000000000000;-0.906307800000000;0.9999998;set_Mid02
shadowfangtable01.obj;-11.414970000;-0.587144700;0.000000000;0.573576500000000;0.000000000000000;0.000000000000000;0.819152100000000;1;set_Mid02
duskwoodfencerail.obj;-8.048482000;0.372174600;0.000000000;0.906307800000000;0.000000000000000;0.000000000000000;-0.422618200000000;0.9999999;set_Mid02
grainsacs02.obj;8.268114000;2.799640000;-0.468055100;1.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1;set_Mid02
shadowfangchair01.obj;14.921310000;-11.806760000;-0.059658690;-0.415999500000000;-0.545205300000000;0.447439800000000;-0.574015000000000;1;set_Mid02
duskwoodruinsbeam.obj;16.528360000;-13.126630000;0.587881100;0.984807700000000;0.000000000000000;-0.173648200000000;0.000000000000000;0.9999999;set_Mid02
duskwoodbench.obj;-9.798439000;-14.591620000;-0.070659430;-0.465456400000000;0.549333300000000;-0.489063100000000;-0.492341900000000;1.000001;set_Mid02
grainsacs01.obj;13.130420000;-11.804920000;-0.488393800;0.258819000000000;0.000000000000000;0.000000000000000;-0.965925800000000;1;set_Mid02
shadowfangbench02.obj;15.747140000;2.370573000;-0.508259500;0.906307800000000;0.000000000000000;0.000000000000000;-0.422618200000000;0.9999999;set_Mid02
