ModelFile;PositionX;PositionY;PositionZ;RotationW;RotationX;RotationY;RotationZ;ScaleFactor;DoodadSet
karazahnweb01.obj;3.680284000;2.697618000;30.558480000;0.213962500000000;-0.067851610000000;-0.822813200000000;-0.522105900000000;0.6283945;Default
karazahnweb01.obj;-11.034100000;2.697618000;16.577610000;-0.030411680000000;0.116449200000000;-0.914586200000000;-0.386065700000000;0.6283945;Default
webdangle02.obj;10.603440000;-5.258513000;5.474998000;0.906307800000000;0.000000000000000;0.000000000000000;0.422618200000000;0.9999999;Default
webstretch01.obj;-6.574566000;-10.919060000;3.888804000;0.670339500000000;-0.006173669000000;0.014682420000000;0.741883600000000;1.147188;Default
webdangle02.obj;0.140867400;-5.941430000;4.440221000;0.996194700000000;0.000000000000000;0.000000000000000;0.087155750000000;0.9999999;Default
webdangle01.obj;4.859030000;-9.725965000;4.537333000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106700000000;1.42248;Default
karazahnweb01.obj;5.718541000;-16.214470000;4.190542000;0.213081500000000;-0.108845300000000;-0.827488700000000;-0.507948200000000;0.4619591;Default
karazahnweb01.obj;5.607541000;-16.214470000;11.308050000;0.213962500000000;-0.067851600000000;-0.822813200000000;-0.522105900000000;0.4798369;Default
webdangle02.obj;-4.581720000;-19.949830000;6.282694000;0.906307800000000;0.000000000000000;0.000000000000000;0.422618200000000;0.7950248;Default
webstretch01.obj;-7.060518000;-6.666661000;22.096110000;0.996173000000000;-0.000496132900000;-0.011365170000000;-0.086659510000000;1.147188;Default
webstretch01.obj;-7.852907000;5.820316000;21.423120000;0.996173000000000;-0.000496133200000;-0.011365170000000;-0.086659510000000;1.402466;Default
webstretch01.obj;-8.118153000;5.913072000;2.266830000;0.998196100000000;0.007578780000000;0.014008920000000;-0.057885800000000;1.147188;Default
webstretch01.obj;6.654697000;11.286060000;5.051642000;0.736575600000000;0.029468820000000;-0.032159650000000;-0.674947200000000;1;Default
cavespiderweb01.obj;-5.640204000;10.622700000;6.280451000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;3.245456;Default
webdangle02.obj;-17.618200000;-7.482634000;-9.364222000;0.695218100000000;0.000000000000000;0.000000000000000;0.718798800000000;0.6125181;Default
webdangle02.obj;-14.021880000;-3.152875000;-5.187953000;-0.208340200000000;0.000000000000000;0.000000000000000;-0.978056400000000;0.6125181;Default
webstretch01.obj;-27.920130000;4.604107000;-9.036646000;0.999490300000000;0.007151597000000;0.014231740000000;-0.027667710000000;1.147188;Default
webstretch01.obj;-27.920130000;-3.914048000;-4.593475000;0.301836800000000;-0.416907800000000;-0.083976860000000;-0.853246900000000;1.147188;Default
webdangle02.obj;-18.547040000;-4.730954000;14.956930000;0.866025400000000;0.000000000000000;0.000000000000000;0.500000000000000;0.7014098;Default
webstretch01.obj;-20.264890000;4.213100000;15.760250000;0.527466400000000;0.009914374000000;-0.005578381000000;0.849499700000000;1.147188;Default
webstretch01.obj;-15.649140000;4.554606000;22.086140000;0.950216300000000;0.299081900000000;0.015219900000000;-0.086066160000000;1.742298;Default
webdangle02.obj;-17.743850000;0.803143000;19.744940000;0.984807800000000;0.000000000000000;0.000000000000000;-0.173648100000000;0.7014099;Default
webdangle02.obj;5.257262000;0.400152000;44.885230000;0.999680400000000;0.000000000000000;0.000000000000000;0.025280270000000;0.8574883;Default
lordaeron_bell_02.obj;-0.152018200;0.121521000;44.367690000;1.000000000000000;0.000000000000000;0.000000000000000;-0.000000325841300;1.2322;Default
fk_banner01wall.obj;17.432670000;-7.884471000;12.111920000;0.837444800000000;0.000000000000000;0.000000000000000;-0.546521900000000;3.80575;Default
fk_banner02wall.obj;-23.096970000;-0.066801820;3.787662000;-0.001268192000000;0.000000000000000;0.000000000000000;-0.999999200000000;4.096007;Default
fk_banner01wall.obj;18.310810000;8.741601000;11.667230000;0.841152600000000;0.000000000000000;0.000000000000000;0.540797800000000;3.80575;Default
webstretch01.obj;26.822490000;2.959027000;10.650680000;0.999871000000000;0.007932652000000;0.009879380000000;-0.009870471000000;1;Default
webdangle02.obj;23.354480000;-1.036581000;21.598870000;0.999680400000000;0.000000000000000;0.000000000000000;0.025280260000000;0.7958866;Default
webdangle02.obj;23.354480000;-4.042898000;20.299470000;0.999680400000000;0.000000000000000;0.000000000000000;0.025280270000000;0.7950248;Default
webstretch01.obj;24.724440000;9.599785000;19.261230000;-0.470444200000000;0.005100228000000;-0.011598140000000;-0.882338800000000;1.241875;Default
webstretch01.obj;-10.482910000;21.892680000;19.409010000;0.581587900000000;-0.003542732000000;0.012164630000000;0.813385000000000;1.806587;Default
coffin.obj;-25.486110000;-1.935273000;-10.310220000;0.999752500000000;0.000959397600000;0.022226130000000;0.000021328970000;1;A
coffinlid.obj;-25.385850000;-1.904891000;-10.286820000;0.999961900000000;0.000000000000000;0.000000000000000;0.008726535000000;1;A
coffin.obj;-22.962670000;-3.035533000;-10.404110000;0.865951100000000;0.002972674000000;0.007356335000000;0.500065700000000;1;A
coffin.obj;-13.596310000;-4.124075000;-9.176559000;-0.040273470000000;0.543449800000000;-0.012942150000000;-0.838375200000000;1;A
coffin.obj;-15.218320000;-7.031192000;-9.174809000;0.556035400000000;-0.392423500000000;0.366613000000000;0.634368400000000;0.9999999;A
coffin.obj;-17.142360000;-7.187443000;-9.270409000;0.616368600000000;-0.326512500000000;0.290784900000000;0.654922500000000;1;A
coffinlid.obj;-13.686190000;-3.903687000;-9.417177000;-0.021458410000000;0.543683800000000;-0.024486450000000;-0.838658400000000;0.9999999;A
coffinlid.obj;-18.409070000;-4.942217000;-11.065050000;0.892979000000000;0.000000000000000;0.000000000000000;-0.450098400000000;0.9999999;A
