ModelFile;PositionX;PositionY;PositionZ;RotationW;RotationX;RotationY;RotationZ;ScaleFactor;DoodadSet
generalhanginglantern01.obj;1.325242000;-0.853325700;4.522902000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1;Default
generalhanginglantern01.obj;12.572490000;-0.853325300;8.736364000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1;Default
housesmoke.obj;5.659348000;5.786749000;11.631170000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.8;Default
innchandelier.obj;11.634670000;-1.287650000;3.988183000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;0.5650222;Default
barrel01.obj;-4.497447000;-5.477206000;-0.509600800;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1;A
barrel01.obj;4.028799000;-1.355727000;-0.514188100;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1;A
barrel01.obj;12.980990000;5.156903000;-0.541254700;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;0.9009009;A
barrel01.obj;17.631000000;15.872920000;4.260493000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1;A
barrel01.obj;19.100510000;12.661500000;4.230462000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1;A
bloodytable2.obj;15.337770000;7.933879000;-0.523182300;0.999961900000000;0.000000000000000;0.000000000000000;-0.008726484000000;0.8547008;A
bootsleatherdark.obj;8.212489000;3.510270000;5.728086000;0.707106800000000;0.000000000000000;0.000000000000000;-0.707106700000000;1;A
bowl.obj;15.465650000;-6.700292000;-0.064500180;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;0.8547009;A
bowl.obj;14.364970000;-6.700292000;-0.059285910;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;0.8547009;A
bowl.obj;14.364970000;-6.700292000;0.021184290;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;0.8547009;A
bowl.obj;14.930530000;-6.700292000;-0.067011940;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.213675;A
bowl.obj;15.477410000;-6.766468000;0.494558100;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;0.8547009;A
bowl.obj;15.477410000;-6.766468000;0.414088400;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;0.8547009;A
bowl.obj;14.945820000;-6.766468000;0.414088400;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;0.8547009;A
bowl.obj;14.267590000;-0.955852900;0.346074800;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.213675;A
bowl.obj;15.220330000;8.479148000;0.297056000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.213675;A
bowl.obj;16.560810000;15.506240000;5.194300000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.094017;A
cavekoboldbucket.obj;8.087056000;9.304345000;-0.522872500;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1;A
cleaver01.obj;13.972050000;7.887868000;0.348920600;0.985573600000000;-0.010231310000000;-0.156099500000000;0.064597950000000;0.9999999;A
clothboltgreen.obj;18.606540000;-0.081847300;5.182988000;0.500000000000000;0.500000000000000;-0.500000000000000;0.500000100000000;1;A
clothspoolblue.obj;17.943990000;-0.457902300;5.156601000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.38;A
clothspoolyellow.obj;18.091230000;0.054288230;5.171866000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1.38;A
duskwoodboarhead01.obj;4.860644000;-0.877047700;3.727321000;0.000000021855700;0.000000000000000;0.000000000000000;-1.000000000000000;1.29;A
duskwoodbookshelf02.obj;14.937850000;-6.732454000;-0.515162200;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;0.8547009;A
duskwoodbookshelf01.obj;-4.742102000;2.452632000;-0.512037100;1.000000000000000;0.000000000000000;0.000000000000000;0.000000021855690;0.8547009;A
duskwoodbookshelf02.obj;8.615570000;3.502991000;4.253677000;0.707106800000000;0.000000000000000;0.000000000000000;-0.707106800000000;0.8547009;A
duskwoodbookshelf02.obj;19.349310000;9.814313000;4.254332000;-0.000000062438000;0.000000000000000;0.000000000000000;-1.000000000000000;0.7841292;A
duskwooddeerhead01.obj;12.513470000;4.525605000;8.205118000;0.706292500000000;-0.033925660000000;0.033925660000000;0.706292500000000;1.25;A
duskwoodwardrobe02.obj;6.045946000;9.417167000;4.258110000;1.000000000000000;0.000000000000000;0.000000000000000;0.000000021855690;0.9009009;A
duskwoodwardrobe01.obj;19.271240000;6.282396000;4.260317000;0.000000021855690;0.000000000000000;0.000000000000000;-1.000000000000000;0.8695652;A
duskwoodwardrobe01.obj;19.271240000;13.879940000;4.260317000;0.000000021855690;0.000000000000000;0.000000000000000;-1.000000000000000;0.8695652;A
