ModelFile;PositionX;PositionY;PositionZ;RotationX;RotationY;RotationZ;ScaleFactor;ModelId;Type
redridge_humantwostory.obj;17374.43;44.13027;15850.59;0;110;0;;201996;wmo
greenhouse01.obj;17412.19;43.0398;15961.08;0;270.5;0;;201999;wmo
redridgedocks02.obj;17326.1;29.4935;15857.44;0;110;0;;346853;wmo
alteractree03.obj;17386.45;42.34287;15973.96;0;12.92191;0;1.152344;193707;m2
alteractree03.obj;17398.52;45.2191;15800.67;0;52.1427;0;1.088867;193694;m2
tirisfallgladecanopytree03.obj;17092.19;60.70708;15444.26;0;254.056;0;1.195313;5497746;m2
tirisfallgladecanopytree06.obj;17396.29;58.80695;15452.13;0;170.312;0;1.109375;143280;m2
tirisfallgladecanopytree06.obj;17535.62;48.76954;15464.65;0;160.312;0;1.109375;143284;m2
alteractree08.obj;17414.5;44.42854;15814.41;0;179.907;0;0.9179688;201994;m2
alteractree03.obj;17260.19;42.33746;15740.59;0;120.04;0;0.8867188;193706;m2
alteractree01.obj;17379.15;41.29677;15884;0;75.08899;0;1.245117;193867;m2
tirisfallgladecanopytree04.obj;17417.68;53.50301;15500.4;-0.5;82.0444;9.5;0.8984375;143256;m2
tirisfallgladecanopytree04.obj;17445.24;43.60912;15441.85;-0.5;228.544;9.5;0.8886719;143262;m2
tirisfallgladecanopytree03.obj;17057.84;60.66179;15529.13;0;80.2789;0;0.9638672;5497747;m2
alteractree01.obj;17567.43;61.54607;15842.44;0;30.72971;0;1.208984;193884;m2
tirisfallgladecanopytree05.obj;17600.62;48.91052;15450.67;-1;13;-10;0.8984375;143310;m2
alteractree01.obj;17466.26;54.19623;15898.23;0;291.202;0;1.154297;193709;m2
alteractree03.obj;17340;47.6706;15779.44;0;146.562;0;0.8085938;193695;m2
tirisfallgladecanopytree06.obj;17596.27;50.02241;15454.66;0;20;0;0.8984375;143312;m2
alteractree01.obj;17596.33;100.6717;16014.04;0;338.565;0;1.111328;193896;m2
alteractree01.obj;17381.27;42.32296;15988.46;0;52.53979;0;1.108398;193708;m2
alteractree03.obj;17577.63;72.11906;15794.48;0;151.286;0;0.7578125;193899;m2
alteractree01.obj;17460.13;59.68035;15990.87;0;85.50922;0;1.081055;193701;m2
alteractree01.obj;17469.81;51.98803;15847.96;0;116.4916;0;1.079102;193704;m2
alteractree01.obj;17513.25;58.45793;15865.72;0;158.186;0;1.074219;193703;m2
alteractree01.obj;17509.61;63.10843;15954.91;0;44.6608;0;1.029297;193898;m2
alteractree01.obj;17532.31;98.67638;15993.74;0;45.45178;0;1.011719;193897;m2
tirisfallgladecanopytree04.obj;17501.99;48.91867;15463.86;-6;179.5;5.5;0.7099609;143344;m2
tirisfallgladecanopytree05.obj;17415.08;54.23443;15493.16;1;187;-3;0.7685547;143257;m2
alteractree01.obj;17397.58;42.01591;15815.73;0;134.389;0;0.9804688;193696;m2
tirisfallgladecanopytree05.obj;17443.44;45.1575;15449.22;1;333.5;-3;0.7597656;143266;m2
alteractree01.obj;17331.42;45.91716;15789.3;0;121.007;0;0.9628906;193697;m2
tirisfallgladecanopytree05.obj;17427.38;58.3254;15493.64;1;161.83;0;0.7480469;143261;m2
tirisfallgladecanopytree05.obj;17079.39;61.67692;15457.32;0;274.535;0;0.7255859;5497748;m2
alteractree01.obj;17507.21;58.54424;15860.42;0;345.64;0;0.890625;193702;m2
alteractree01.obj;17250.14;41.96321;15729.66;0;173.963;0;0.8779297;193705;m2
alteractree01.obj;17571.82;63.20089;15852.89;0;220.898;0;0.8603516;193885;m2
tirisfallgladecanopytree02.obj;17539.43;49.15615;15456.52;-4.5;318.464;-13;0.4892578;143282;m2
alteractree01.obj;17521.63;66.74633;15953.14;0;272.107;0;0.7509766;193895;m2
tirisfallgladecanopytree06.obj;17493.59;49.82874;15464.23;0;307.5;0;0.5693359;143345;m2
tirisfallgladecanopytree04.obj;17533.59;48.46176;15456.06;0;247.03;0;0.5273438;143283;m2
tirisfallgladecanopytree02.obj;17496.36;48.89935;15460.41;-0.5;98.5;-8;0.3798828;143343;m2
tirisfallgladecanopytree03.obj;17422.06;55.27201;15490.22;0;279.881;0;0.4648438;143260;m2
alteractree02.obj;17385.9;43.47887;15815.36;0;149.792;0;1.242188;193764;m2
alteractree02.obj;17450.72;60.15181;15996.31;0;38.0358;0;1.237305;193758;m2
alteractree02.obj;17319.6;45.90671;15795.09;0;87.40991;0;1.210938;193768;m2
alteractree02.obj;17366.18;39.97741;15900.27;0;17.73865;0;1.152344;193871;m2
alteractree02.obj;17506.81;64.38161;15946.92;0;160.592;0;1.151367;193927;m2
tirisfallgladecanopytree05.obj;17501.37;48.93499;15460.02;0.5;54.5;-2.5;0.3984375;143346;m2
alteractree02.obj;17557.54;72.94427;15949.36;0;191.783;0;1.142578;193929;m2
